Store Code,Region,City,Store Name
A001,Maharashtra,Mumbai,Juhu
A003,Gujarat,Ahmedabad,Himalaya Mall
A004,Gujarat,Ahmedabad,Devarc
A009,Maharashtra,Navi Mumbai,Belapur
A010,Gujarat,Surat,Ghoddod
A011,Maharashtra,Pune,Aundh
A012,Haryana,Faridabad,Crown Mall
A013,Maharashtra,Mumbai,Mulund
A015,Gujarat,Vadodara,Centre Square Mall
A017,Maharashtra,Thane,Bhayander
A018,Karnataka,Bangalore,SS Manor
A020,Delhi,New Delhi,Rohini
A021,Maharashtra,Mumbai,Bandra Mall
A022,Uttar Pradesh,Ghaziabad,Pacific Mall
A023,Uttar Pradesh,Noida,Ansal Plaza Mall
A024,Uttar Pradesh,Ghaziabad,Aditya Mall
A026,Maharashtra,Mumbai,Fort
A027,Maharashtra,Mumbai,PMC Lower Parel Mall
A028,Telangana,Hyderabad,Jubilee
A029,Telangana,Hyderabad,Panjagutta
A032,Delhi,New Delhi,Kamlanagar
A034,Tamil Nadu,Chennai,Mount Road
A035,Maharashtra,Mumbai,Ghatkopar Mall
A036,Gujarat,Rajkot,Crystal Mall
A037,Tamil Nadu,Chennai,Anna Nagar
A038,Maharashtra,Pune,Pimpri
A039,Maharashtra,Mumbai,Sion
A040,Tamil Nadu,Chennai,T Nagar
A041,Maharashtra,Mumbai,Oberoi Mall
A042,Delhi,New Delhi,Saket
A044,Delhi,New Delhi,Rajouri
A045,Karnataka,Bangalore,Indira Nagar
A048,Delhi,New Delhi,SouthEx
A049,Maharashtra,Pune,Kothrud
A050,Haryana,Gurugram,Dlf Mega Mall
A051,Delhi,New Delhi,Airport Terminal 3 Domestic
A053,Gujarat,Surat,Ripple
A055,Delhi,New Delhi,Connaught Place
A056,Karnataka,Bangalore,J P Nagar
A057,Karnataka,Bangalore,Bel Road
A058,Karnataka,Bangalore,Koramangala
A059,Delhi,New Delhi,Airport Terminal 3 International
A060,Karnataka,Bangalore,Marathahalli
A062,Maharashtra,Aurangabad,Prozone Mall
A064,Delhi,New Delhi,East Of Kailash
A066,Karnataka,Bangalore,Bannerghatta Mall
A073,Karnataka,Bangalore,Banshankari
A074,Maharashtra,Mumbai,Breach Candy
A079,Chandigarh,Chandigarh,Sector 26
A080,Chandigarh,Chandigarh,Sector 22B
A087,Delhi,New Delhi,Dwarka
A088,Karnataka,Bangalore,PMC Mall
A089,Delhi,New Delhi,Preet Vihar
A091,Telangana,Hyderabad,Kondapur
A092,Maharashtra,Mumbai,Kandivali
A093,Karnataka,Bangalore,Rajaji Nagar
A095,Tamil Nadu,Chennai,Grand Mall
A097,Tamil Nadu,Chennai,PMC Mall
A104,Delhi,New Delhi,Pusa Road
A105,Gujarat,Surat,Adajan
A107,Gujarat,Ahmedabad,Ratna
A108,Maharashtra,Nashik,Solitario
A109,Telangana,Hyderabad,Terminal International
A112,Delhi,New Delhi,Select City Walk
A113,Karnataka,Bangalore,Jaynagar
A114,Karnataka,Bangalore,Total Mall
A115,Maharashtra,Pune,Seasons Mall
A116,Maharashtra,Navi Mumbai,Kharghar
A117,Maharashtra,Pune,Wakad
A118,Haryana,Gurugram,Sector 49
A119,Maharashtra,Mumbai,Prabhadevi
A120,Haryana,Gurugram,Sector 29
A122,Uttar Pradesh,Ghaziabad,Gaur Central RDC Mall
A123,Maharashtra,Mumbai,PMC Kurla Mall
A126,Telangana,Hyderabad,L B Nagar
A127,Maharashtra,Mumbai,Andheri
A129,Maharashtra,Pune,PMC Mall
A131,Delhi,New Delhi,Rohini West Mall
A132,Delhi,New Delhi,Janakpuri
A133,Maharashtra,Navi Mumbai,Vashi
A134,Telangana,Hyderabad,AS RaoNagar
A135,Uttar Pradesh,Noida,Logix Mall
A137,Gujarat,Surat,Deepkamal Mall
A138,Tamil Nadu,Chennai,BSR Mall
A139,Gujarat,Vadodara,Eva Mall
A140,Maharashtra,Mumbai,Bhandup Mall
A141,Maharashtra,Navi Mumbai,Seawoods Mall
A142,Maharashtra,Mumbai,Growel101 Mall
A143,Gujarat,Ahmedabad,Motera
A144,Haryana,Gurugram,Ambience Mall
A145,Gujarat,Ahmedabad,Mani Nagar
A146,Tamil Nadu,Chennai,Mogappair
A147,Maharashtra,Mumbai,Borivali
A148,Telangana,Hyderabad,Kompally
A149,Telangana,Secunderabad,New Vikrampuri
A150,Karnataka,Bangalore,Whitefield
A151,Uttar Pradesh,Noida,Mall of India
A152,Telangana,Hyderabad,Attapur
A153,Maharashtra,Mumbai,Infiniti Mall
A154,Telangana,Hyderabad,Ramanthapur
A156,Maharashtra,Pune,Baner
A157,Tamil Nadu,Chennai,Avadi
A159,Gujarat,Ahmedabad,Satyam64
A160,Karnataka,Bangalore,Yelahanka
A161,Delhi,New Delhi,Vasant Kunj Mall
A162,Punjab,Mohali,VR Mall
A163,Punjab,Jalandhar,Lajpat Nagar
A164,Maharashtra,Kolhapur,StarBazaar
A165,Gujarat,Bhavnagar,Sun Exotica
A166,Gujarat,Jamnagar,Shreeji One
A167,Karnataka,Hubli,Gokul Road
A168,Rajasthan,Jaipur,WTP Mall
A169,Telangana,Hyderabad,Sarath City Mall
A170,Telangana,Hyderabad,Kukatpally
A171,Maharashtra,Mumbai,Churchgate
A172,Goa,Porvorim,Bardez
A173,Karnataka,Mysore,Double Road
A174,Maharashtra,Mumbai,Chembur
A175,Maharashtra,Thane,Ghodbunder Road
A177,Gujarat,Bhuj,Seven Sky Mall
A178,Maharashtra,Mumbai,Kurla LBS Road
A179,Karnataka,Mandya,MC Road
A180,West Bengal,Kolkata,Sarat Bose Road
A181,Tamil Nadu,Chennai,Chrompet
A182,Madhya Pradesh,Gwalior,City Center
A184,Maharashtra,Baramati,Bhigwan Road
A185,Karnataka,Davanagere,Hadadi Road
A186,Madhya Pradesh,Indore,Vijay Nagar Square
A188,Madhya Pradesh,Bhopal,Arera Colony
A189,Uttar Pradesh,Noida,Gaur Mall
A190,Gujarat,Gandhidham,RT Road
A191,Maharashtra,Aurangabad,Waluj
A192,Madhya Pradesh,Bhopal,DB Mall
A193,Tamil Nadu,Coimbatore,Prozone Mall
A194,Maharashtra,Pune,Chinchawad
A195,Gujarat,Vapi,Daman Road
A196,Telangana,Hyderabad,Madinaguda
A197,West Bengal,Kolkata,Rajarhat
A198,Chhattisgarh,Raipur,Pandri Road
A199,Tamil Nadu,Coimbatore,Laxmi Mills
A200,Gujarat,Junagadh,Timbawadi Road
A201,Gujarat,Anand,Vidyanagar Road
A202,Gujarat,Vadodara,Kareli Baug
A203,Maharashtra,Pune,JVA Mall
A204,Delhi,New Delhi,Vegas Mall
A205,Andhra Pradesh,Visakhapatnam,Muralinagar
A206,Rajasthan,Kota,Dakaniya Station Road
A207,Karnataka,Bangalore,Hennur Road
A208,Gujarat,Nadiad,Uttarsanda Road
A209,Gujarat,Surat,Parvat Patiya
A210,Gujarat,Bharuch,Dahej Bypass Road
A211,Andhra Pradesh,Visakhapatnam,Sripuram
A212,Haryana,Gurugram,Worldmark 2
A213,Tamil Nadu,Salem,Bharathi Street
A214,Uttar Pradesh,Lucknow,Aliganj
A215,Maharashtra,Nashik,Nashik Road
A217,Gujarat,Surat,VIP Road
A218,Gujarat,Rajkot,Nana Mawa Chowk
A219,Chhattisgarh,Raipur,VIP Chowk
A220,West Bengal,Kolkata,Green Chinar
A221,Karnataka,Mangalore,MAK Mall
A222,Maharashtra,Pune,Katraj
A223,Gujarat,Vadodara,OP Road
A224,Andhra Pradesh,Rajahmundry,RTC Complex Road
A225,Tamil Nadu,Hosur,Bagalur Road
A226,West Bengal,Kolkata,Barasat
A227,Telangana,Hyderabad,Karmanghat
A228,Gujarat,Ahmedabad,Vastral
A229,West Bengal,Asansol,Bhagat Singh More
A230,Gujarat,Ahmedabad,Nikol
A231,Gujarat,Mehsana,Modhera Circle
A233,Madhya Pradesh,Indore,Aerodrum Road
A234,Chhattisgarh,Bilaspur,Srikant Verma Marg
A235,Karnataka,Bangalore,Gunjur
A236,Karnataka,Bangalore,Malleshwaram
A238,West Bengal,Kolkata,Kalikapur
A239,Uttar Pradesh,Lucknow,Alambagh
A240,Haryana,Gurugram,Sector 12
A241,Maharashtra,Pune,Sinhgad Road
A242,Andhra Pradesh,Guntur,Lakshmipuram Road
A243,Maharashtra,Solapur,Murarji Peth
A244,Gujarat,Navsari,Grid Road
A245,Jharkhand,Dhanbad,Prabhatam Grand Mall
A246,Gujarat,Gandhinagar,Sector 11
A247,Gujarat,Ahmedabad,Maninagar South
A249,Gujarat,Palanpur,Delhi Highway
A250,Gujarat,Ahmedabad,Bopal
A251,Gujarat,Ahmedabad,Shyamal Cross Road
A252,Andhra Pradesh,Eluru,Narsimharaopet
A255,Punjab,Patiala,Bhupendra Road
A256,Maharashtra,Latur,Ambejogai Road
A257,Karnataka,Bangalore,GT World Mall
A258,Delhi,New Delhi,Pitampura
A259,Uttar Pradesh,Lucknow,Vibhuti Khand
A260,Gujarat,Ahmedabad,Science City
A262,Maharashtra,Amravati,Badnera Road
A263,Gujarat,Surat,Kamrej
A264,Maharashtra,Pune,Hinjewadi
A267,Delhi,New Delhi,GT Karnal Road
A269,Tamil Nadu,Chennai,Alwarpet
A270,Andhra Pradesh,Vijayawada,Benz Circle
A271,Karnataka,Belagavi,Tilakwadi
A272,Karnataka,Shivamogga,Savalanga Road
A273,Punjab,Bathinda,GT Road
A274,Andhra Pradesh,Kurnool,Raj Vihar Centre
A275,Maharashtra,Kalyan,Khadakpada
A276,Delhi,New Delhi,Civil Lines
A277,Karnataka,Bangalore,Electronic City
A278,Chhattisgarh,Bhilai,Supela
A279,Goa,Dabolim,Alsto
A280,Karnataka,Vijayapura,Lingad Gudi Road
A282,Kerala,Thrissur,MG Road
A283,Rajasthan,Jaipur,Vaishali Nagar
A284,Uttar Pradesh,Agra,SRK Mall
A285,Maharashtra,Mumbai,Kandivali West
